RowNumber,StudentId,StudentScore,School,Gender,Age,tenure,previousScore,sportsParticipated,Sibling,IsRegular,everFailed,IsFailed
880,10023959,649,Govt Primary School,girl,10,2,276,0,1,0,1,1
881,10041812,658,Govt Primary School,girl,6,4,606,6,1,0,1,1
882,10019330,761,Govt Primary School,girl,10,4,1000,4,1,1,0,0
883,10030906,453,Govt Primary School,boy,7,3,873,4,0,1,1,1
884,10033509,237,Govt Primary School,girl,14,4,225,4,0,1,0,0
885,10037422,466,Govt Primary School,boy,13,2,921,0,1,1,1,1
886,10010015,810,Govt Primary School,boy,14,3,754,4,0,0,0,1
887,10007449,364,Navodaya Vidyalaya,boy,11,2,418,4,0,1,1,0
888,10028000,336,Govt Primary School,boy,6,4,800,2,1,0,1,1
889,10011789,998,Kendriya Vidyalaya,boy,8,4,200,4,1,0,1,1
890,10004693,753,Govt Primary School,girl,9,4,731,2,1,0,1,1
891,10031657,382,Navodaya Vidyalaya,boy,11,4,359,2,0,1,0,0
892,10040028,558,Kendriya Vidyalaya,boy,12,3,571,7,0,0,1,1
893,10014469,912,Govt Primary School,boy,14,2,313,5,1,1,0,0
894,10040547,275,Govt Primary School,girl,6,3,839,6,0,1,0,1
895,10003855,302,Kendriya Vidyalaya,girl,14,2,254,1,0,1,0,1
896,10019630,252,Kendriya Vidyalaya,boy,13,4,499,2,1,1,1,0
897,10012939,706,Govt Primary School,boy,9,3,660,2,1,1,0,0
898,10041978,851,Govt Primary School,girl,7,3,205,0,1,0,0,0
899,10042343,430,Govt Primary School,girl,13,2,943,7,1,0,1,1
900,10010009,737,Kendriya Vidyalaya,boy,8,2,731,1,1,0,0,0
901,10009311,384,Kendriya Vidyalaya,boy,12,4,576,4,1,0,1,0
902,10002473,530,Govt Primary School,boy,14,2,883,1,1,0,0,0
903,10016408,226,Govt Primary School,girl,12,3,683,6,1,1,1,0
904,10013900,524,Govt Primary School,boy,12,2,902,6,0,0,0,0
905,10014562,213,Govt Primary School,boy,11,4,995,5,0,1,0,1
906,10018528,237,Govt Primary School,girl,8,3,503,4,1,1,0,1
907,10037127,232,Govt Primary School,boy,14,3,790,3,1,1,0,0
908,10029884,693,Govt Primary School,girl,10,2,305,0,0,0,0,1
909,10042697,822,Navodaya Vidyalaya,boy,6,4,400,6,0,1,0,1
910,10005254,258,Navodaya Vidyalaya,boy,10,4,625,3,1,1,1,0
911,10019661,862,Govt Primary School,boy,8,2,483,7,1,1,0,1
912,10044105,580,Navodaya Vidyalaya,girl,9,4,533,1,1,0,0,1
913,10034068,527,Navodaya Vidyalaya,girl,9,2,702,0,1,0,0,1
914,10041592,833,Kendriya Vidyalaya,boy,8,2,355,5,1,1,0,1
915,10024769,871,Govt Primary School,boy,8,4,599,7,0,1,0,0
916,10031652,986,Govt Primary School,boy,12,3,786,6,0,1,0,1
917,10005279,364,Govt Primary School,boy,11,3,438,7,0,1,0,1
918,10003335,730,Govt Primary School,girl,8,2,919,2,0,0,0,1
919,10021646,271,Navodaya Vidyalaya,boy,6,3,216,7,0,1,0,1
920,10010321,423,Navodaya Vidyalaya,boy,10,4,506,7,0,0,1,0
921,10014496,508,Govt Primary School,boy,14,3,358,1,0,1,1,1
922,10016757,642,Navodaya Vidyalaya,boy,6,2,672,5,1,1,1,0
923,10003739,617,Govt Primary School,boy,14,2,733,7,1,1,0,0
924,10014974,219,Kendriya Vidyalaya,girl,8,2,571,2,1,1,0,0
925,10029541,372,Govt Primary School,girl,12,4,956,0,0,0,1,0
926,10014022,908,Kendriya Vidyalaya,girl,10,2,555,0,0,1,1,1
927,10018612,245,Navodaya Vidyalaya,boy,12,4,262,1,1,0,0,0
928,10030001,973,Kendriya Vidyalaya,boy,11,2,835,4,0,1,0,1
929,10026220,647,Kendriya Vidyalaya,boy,12,2,689,7,0,0,1,0
930,10027212,734,Govt Primary School,girl,12,4,663,1,1,1,0,0
931,10000531,320,Navodaya Vidyalaya,boy,6,2,318,5,0,0,1,0
932,10000171,495,Kendriya Vidyalaya,boy,6,4,632,0,0,1,1,1
933,10018330,956,Kendriya Vidyalaya,girl,6,4,689,3,0,0,1,1
934,10047688,711,Navodaya Vidyalaya,boy,10,4,726,0,1,0,0,0
935,10045545,627,Navodaya Vidyalaya,boy,9,3,529,1,1,0,0,0
936,10039935,579,Govt Primary School,girl,8,2,934,4,1,0,1,0
937,10013032,405,Govt Primary School,boy,12,4,454,3,0,1,1,0
938,10041796,855,Kendriya Vidyalaya,girl,9,2,863,1,0,0,1,0
939,10000938,344,Govt Primary School,girl,6,3,298,1,0,0,0,0
940,10032066,977,Govt Primary School,girl,13,3,739,0,0,0,1,1
941,10004070,875,Navodaya Vidyalaya,boy,8,3,732,1,0,1,1,0
942,10009633,885,Govt Primary School,girl,12,3,308,0,0,0,1,0
943,10016888,605,Govt Primary School,girl,13,4,305,0,0,1,0,1
944,10005673,870,Kendriya Vidyalaya,girl,6,2,892,4,0,0,0,1
945,10041098,431,Govt Primary School,boy,11,4,749,4,1,0,1,0
946,10013158,940,Navodaya Vidyalaya,girl,7,4,886,1,1,1,1,0
947,10048850,993,Navodaya Vidyalaya,girl,9,4,306,5,0,0,1,0
948,10011218,687,Govt Primary School,girl,8,3,839,0,0,0,1,0
949,10035718,431,Govt Primary School,boy,13,3,531,6,1,1,1,0
950,10045210,742,Govt Primary School,girl,10,4,943,1,1,0,0,0
951,10046860,269,Govt Primary School,girl,7,3,221,1,1,1,0,0
952,10015716,310,Kendriya Vidyalaya,boy,12,4,624,1,1,1,0,1
953,10023738,347,Kendriya Vidyalaya,girl,6,3,700,7,0,0,1,0
954,10021141,244,Navodaya Vidyalaya,boy,11,2,215,4,1,1,0,0
955,10009067,549,Navodaya Vidyalaya,girl,12,2,251,2,1,0,0,1
956,10012393,240,Govt Primary School,girl,14,2,544,2,0,1,0,1
957,10009607,816,Navodaya Vidyalaya,girl,8,4,550,6,1,1,1,0
958,10017285,500,Navodaya Vidyalaya,girl,7,4,568,3,1,0,0,0
959,10049371,634,Navodaya Vidyalaya,boy,7,2,370,5,0,1,1,1
960,10043840,718,Govt Primary School,girl,8,2,527,1,0,1,1,0
961,10029063,505,Kendriya Vidyalaya,girl,9,2,624,6,0,0,0,1
962,10018398,373,Navodaya Vidyalaya,boy,11,4,845,6,0,0,1,1
963,10041101,935,Navodaya Vidyalaya,boy,14,4,316,1,1,1,0,0
964,10006485,606,Navodaya Vidyalaya,boy,9,4,928,4,0,0,1,1
965,10011480,891,Kendriya Vidyalaya,girl,9,3,382,1,1,0,1,0
966,10023345,982,Govt Primary School,girl,11,4,683,7,0,1,1,1
967,10002759,665,Govt Primary School,girl,14,2,416,3,0,0,0,0
968,10002459,246,Navodaya Vidyalaya,girl,14,2,857,6,1,1,0,1
969,10003508,471,Govt Primary School,boy,14,3,266,2,1,1,1,1
970,10030041,375,Kendriya Vidyalaya,boy,7,4,462,4,1,1,1,1
971,10017825,777,Govt Primary School,girl,7,4,677,2,0,0,0,1
972,10048024,546,Govt Primary School,boy,14,4,723,3,1,1,0,0
973,10008308,394,Kendriya Vidyalaya,boy,8,3,398,6,0,1,0,1
974,10041016,368,Navodaya Vidyalaya,girl,14,3,573,1,0,1,1,0
975,10031827,460,Govt Primary School,boy,14,3,750,4,0,1,1,0
976,10004456,524,Navodaya Vidyalaya,girl,14,3,308,5,1,1,0,0
977,10012939,863,Govt Primary School,girl,11,3,775,1,1,1,0,0
978,10016046,282,Govt Primary School,girl,10,3,400,4,0,1,1,0
979,10034572,208,Govt Primary School,girl,6,3,282,2,1,0,0,0
980,10041830,508,Govt Primary School,girl,6,2,731,0,0,1,1,0
981,10011144,938,Govt Primary School,boy,6,4,880,7,0,0,0,1
982,10022151,688,Kendriya Vidyalaya,girl,11,4,731,1,0,1,1,1
983,10003183,774,Govt Primary School,boy,9,2,672,5,0,0,0,0
984,10044523,604,Kendriya Vidyalaya,girl,11,4,340,6,1,1,1,0
985,10002343,226,Govt Primary School,boy,13,3,861,3,1,0,1,1
986,10045640,422,Kendriya Vidyalaya,boy,6,2,802,7,1,0,0,1
987,10043394,471,Govt Primary School,boy,7,2,677,7,0,0,1,0
988,10007825,399,Navodaya Vidyalaya,boy,7,3,560,7,0,0,1,0
989,10012451,656,Navodaya Vidyalaya,boy,14,4,483,2,1,1,0,0
990,10011613,694,Govt Primary School,girl,12,3,815,0,1,1,0,1
991,10026352,947,Govt Primary School,boy,8,4,720,0,1,1,1,1
992,10032862,725,Govt Primary School,girl,11,4,719,3,1,1,0,1
993,10003124,472,Kendriya Vidyalaya,girl,9,3,517,6,0,1,1,0
994,10048934,271,Navodaya Vidyalaya,girl,11,4,764,0,1,1,1,0
995,10008506,442,Navodaya Vidyalaya,boy,13,3,699,7,0,1,1,1
996,10007955,740,Navodaya Vidyalaya,boy,6,3,688,0,1,0,0,1
997,10026178,651,Navodaya Vidyalaya,boy,13,4,557,5,1,1,0,0
998,10007097,919,Navodaya Vidyalaya,boy,11,3,703,7,0,1,1,1
999,10020326,531,Kendriya Vidyalaya,girl,14,4,356,1,1,1,1,0
1000,10028131,353,Govt Primary School,girl,7,4,825,2,0,1,1,1
1001,10019091,463,Kendriya Vidyalaya,girl,14,3,388,5,1,0,0,0
1002,10007012,751,Govt Primary School,girl,11,2,687,4,0,1,1,1
1003,10024476,604,Kendriya Vidyalaya,boy,6,4,373,5,0,0,1,1
1004,10004698,974,Govt Primary School,girl,6,4,452,5,1,0,0,1
1005,10038884,651,Kendriya Vidyalaya,girl,6,2,208,5,1,1,0,1
1006,10026650,728,Kendriya Vidyalaya,boy,6,2,992,7,1,0,0,1
1007,10049120,906,Navodaya Vidyalaya,girl,10,4,608,3,1,1,1,0
1008,10046148,691,Govt Primary School,boy,12,2,638,0,0,1,0,1
1009,10025517,648,Govt Primary School,boy,12,4,843,6,1,0,0,1
1010,10038942,261,Navodaya Vidyalaya,boy,10,2,377,3,0,0,0,0
1011,10030859,291,Govt Primary School,boy,13,3,362,1,1,0,0,1
1012,10026380,837,Navodaya Vidyalaya,boy,6,4,601,7,1,0,0,0
1013,10002285,662,Govt Primary School,girl,14,2,338,5,0,1,0,1
1014,10006841,247,Navodaya Vidyalaya,boy,8,2,857,6,1,0,0,1
1015,10011306,307,Navodaya Vidyalaya,girl,13,3,591,4,1,1,0,1
1016,10005389,940,Govt Primary School,girl,7,3,625,1,0,0,0,1
1017,10028735,931,Kendriya Vidyalaya,boy,13,4,315,3,0,1,0,0
1018,10042413,710,Kendriya Vidyalaya,boy,13,4,881,7,1,0,1,0
1019,10002492,286,Kendriya Vidyalaya,girl,12,4,929,5,1,1,1,0
1020,10008784,772,Govt Primary School,boy,10,4,236,6,1,0,0,0
1021,10014992,752,Govt Primary School,boy,10,3,743,3,0,1,1,0
1022,10049404,737,Navodaya Vidyalaya,boy,13,2,813,5,1,0,1,0
1023,10001830,743,Govt Primary School,girl,9,4,326,2,0,1,1,0
1024,10014916,963,Govt Primary School,boy,7,4,562,3,1,1,0,1
1025,10044004,339,Govt Primary School,girl,12,3,731,5,0,0,0,0
1026,10031282,644,Govt Primary School,girl,8,2,710,1,1,0,0,1
1027,10002913,395,Govt Primary School,boy,11,4,695,0,1,1,1,1
1028,10047820,633,Kendriya Vidyalaya,boy,7,4,266,3,1,1,1,0
1029,10013666,488,Navodaya Vidyalaya,boy,14,3,857,0,1,0,1,0
1030,10019509,227,Navodaya Vidyalaya,boy,11,4,686,5,1,0,0,1
1031,10011692,569,Govt Primary School,boy,8,3,999,6,1,0,1,1
1032,10024250,554,Govt Primary School,girl,9,2,514,6,0,0,0,0
1033,10023826,799,Navodaya Vidyalaya,boy,6,3,634,7,0,0,0,0
1034,10034871,759,Govt Primary School,boy,10,3,723,7,0,0,0,1
1035,10012270,700,Govt Primary School,boy,8,3,511,7,0,0,1,0
1036,10024188,377,Navodaya Vidyalaya,boy,10,2,625,6,0,1,1,0
1037,10017229,784,Govt Primary School,boy,10,2,440,1,0,0,0,0
1038,10048473,915,Govt Primary School,girl,6,2,821,1,1,0,1,1
1039,10048439,832,Govt Primary School,boy,10,2,984,7,1,0,1,0
1040,10038862,494,Govt Primary School,girl,11,4,456,7,0,0,0,1
1041,10031381,440,Navodaya Vidyalaya,boy,13,2,473,2,1,1,1,0
1042,10031705,952,Govt Primary School,boy,9,3,573,0,1,1,1,0
1043,10038405,331,Navodaya Vidyalaya,girl,10,4,581,3,0,0,0,0
1044,10019648,267,Govt Primary School,boy,11,3,607,5,0,0,1,0
1045,10046809,406,Govt Primary School,girl,13,4,347,3,1,1,1,0
1046,10039493,978,Navodaya Vidyalaya,boy,11,2,602,2,0,0,0,0
1047,10012668,656,Navodaya Vidyalaya,girl,8,3,559,2,1,1,1,0
1048,10041457,908,Govt Primary School,girl,12,2,443,3,1,0,1,1
1049,10020194,632,Kendriya Vidyalaya,boy,8,4,481,2,0,0,0,1
1050,10003856,203,Kendriya Vidyalaya,boy,9,2,522,5,0,0,0,1
1051,10033518,616,Govt Primary School,boy,10,2,559,4,1,1,1,0
1052,10000532,247,Navodaya Vidyalaya,girl,12,4,377,3,1,0,0,1
1053,10023939,704,Kendriya Vidyalaya,boy,11,4,469,3,0,1,0,1
1054,10007802,473,Navodaya Vidyalaya,girl,13,4,539,5,1,1,0,0
1055,10004386,325,Navodaya Vidyalaya,girl,14,3,679,0,0,0,0,1
1056,10021127,438,Navodaya Vidyalaya,girl,12,2,236,1,1,0,1,0
1057,10005665,774,Navodaya Vidyalaya,boy,8,4,817,5,0,0,1,0
1058,10000552,513,Govt Primary School,girl,10,3,630,3,0,0,1,0
1059,10007964,770,Kendriya Vidyalaya,boy,9,4,466,4,1,0,0,0
1060,10032715,315,Govt Primary School,boy,13,4,336,1,1,1,1,0
1061,10013288,260,Navodaya Vidyalaya,girl,14,4,236,5,0,1,1,1
1062,10023601,408,Navodaya Vidyalaya,girl,14,4,703,2,0,1,0,0
1063,10028191,891,Kendriya Vidyalaya,boy,9,3,288,0,0,0,0,0
1064,10028397,532,Govt Primary School,boy,11,2,474,6,1,0,1,0
1065,10042784,898,Govt Primary School,girl,6,3,697,0,0,1,0,0
1066,10000481,825,Govt Primary School,boy,8,3,308,3,1,0,0,0
1067,10005461,341,Govt Primary School,girl,8,3,569,6,0,1,1,1
1068,10042425,984,Kendriya Vidyalaya,boy,14,4,439,7,0,1,1,0
1069,10044582,250,Govt Primary School,boy,10,3,867,4,1,0,1,0
1070,10043968,223,Govt Primary School,boy,8,4,220,3,0,0,0,1
1071,10013554,847,Kendriya Vidyalaya,girl,8,3,932,0,1,0,1,0
1072,10028303,452,Kendriya Vidyalaya,boy,8,3,267,1,0,1,0,1
1073,10044496,398,Navodaya Vidyalaya,girl,8,3,842,5,1,1,0,0
1074,10028464,348,Navodaya Vidyalaya,boy,11,2,935,6,0,1,0,1
1075,10042758,642,Govt Primary School,girl,14,3,280,1,0,0,0,0
1076,10041667,590,Kendriya Vidyalaya,girl,13,4,401,3,0,1,1,1
1077,10018206,880,Navodaya Vidyalaya,boy,8,2,784,3,0,1,1,0
1078,10029544,926,Govt Primary School,boy,8,3,281,2,1,1,0,0
1079,10032355,410,Kendriya Vidyalaya,girl,9,3,513,6,1,0,1,1
1080,10012833,307,Govt Primary School,boy,7,3,950,6,0,1,1,0
1081,10011332,999,Kendriya Vidyalaya,girl,6,3,428,3,0,1,0,0
1082,10041749,879,Navodaya Vidyalaya,girl,10,3,875,0,1,1,1,1
1083,10005279,338,Navodaya Vidyalaya,boy,13,4,865,7,1,0,1,1
1084,10002482,599,Govt Primary School,girl,13,2,321,7,1,0,1,0
1085,10036952,843,Govt Primary School,boy,12,2,683,6,1,1,0,1
1086,10009288,783,Govt Primary School,boy,8,3,881,5,1,0,0,0
1087,10022382,313,Govt Primary School,boy,8,2,843,7,1,1,1,0
1088,10044867,296,Govt Primary School,girl,10,2,862,2,1,1,1,1
1089,10034829,205,Navodaya Vidyalaya,boy,11,4,783,1,0,1,1,1
1090,10024107,702,Govt Primary School,girl,9,2,791,3,1,0,0,0
1091,10017616,309,Kendriya Vidyalaya,girl,11,4,416,3,0,0,0,0
1092,10043174,425,Govt Primary School,boy,14,2,396,5,0,1,1,0
1093,10038934,484,Govt Primary School,boy,12,3,470,7,0,0,0,0
1094,10049710,495,Govt Primary School,boy,12,4,580,7,1,0,0,0
1095,10000506,535,Govt Primary School,boy,9,2,759,7,0,1,1,0
1096,10015877,949,Govt Primary School,boy,9,4,441,6,0,1,0,1
1097,10035629,367,Kendriya Vidyalaya,girl,10,4,743,5,0,1,1,0
1098,10026901,832,Govt Primary School,boy,11,3,828,5,1,1,0,1
1099,10015506,323,Govt Primary School,girl,11,4,896,0,1,0,0,0
1100,10047945,747,Navodaya Vidyalaya,boy,6,2,788,5,0,1,0,0
1101,10021634,901,Govt Primary School,girl,12,3,790,3,0,1,0,1
1102,10006736,420,Navodaya Vidyalaya,boy,6,3,926,0,1,1,0,0
1103,10021973,449,Navodaya Vidyalaya,boy,13,4,433,6,1,1,0,1
1104,10030815,459,Kendriya Vidyalaya,girl,13,2,554,6,0,1,1,0
1105,10012334,308,Govt Primary School,boy,11,2,892,0,1,0,0,1
1106,10040336,554,Govt Primary School,girl,13,3,308,3,1,0,0,1
1107,10023594,340,Govt Primary School,girl,8,2,915,0,0,0,0,1
1108,10019811,293,Kendriya Vidyalaya,girl,14,4,500,3,1,0,0,1
1109,10003728,501,Kendriya Vidyalaya,boy,9,4,760,3,1,1,0,0
1110,10007111,567,Govt Primary School,boy,11,4,360,0,0,0,1,1
1111,10008267,892,Govt Primary School,girl,9,2,937,3,0,1,1,0
1112,10041019,646,Kendriya Vidyalaya,boy,12,3,269,3,1,1,1,0
1113,10047830,530,Govt Primary School,girl,11,3,628,1,1,0,1,0
1114,10004222,840,Kendriya Vidyalaya,girl,8,3,365,6,1,1,1,1
1115,10003189,832,Govt Primary School,girl,13,3,598,5,1,0,1,1
1116,10025516,391,Navodaya Vidyalaya,boy,10,2,249,4,0,1,1,0
1117,10047891,688,Govt Primary School,boy,8,2,506,3,0,1,0,0
1118,10007074,690,Govt Primary School,girl,12,2,252,4,1,1,1,1
1119,10027938,300,Navodaya Vidyalaya,boy,6,4,717,1,1,1,0,1
1120,10000682,901,Navodaya Vidyalaya,boy,11,4,286,6,0,1,1,0
1121,10032075,884,Kendriya Vidyalaya,boy,13,3,545,0,1,1,0,0
1122,10048558,780,Govt Primary School,girl,11,4,311,1,1,0,0,1
1123,10003806,807,Kendriya Vidyalaya,boy,12,4,289,3,1,0,1,0
1124,10020009,521,Kendriya Vidyalaya,boy,11,2,563,7,0,0,0,0
1125,10001705,320,Navodaya Vidyalaya,boy,14,3,797,5,0,0,0,0
1126,10025989,883,Kendriya Vidyalaya,girl,14,2,257,1,1,1,1,0
1127,10032665,339,Navodaya Vidyalaya,girl,14,3,565,2,1,0,0,0
1128,10004231,788,Kendriya Vidyalaya,girl,14,2,897,5,1,0,1,0
1129,10001774,224,Govt Primary School,girl,11,2,766,3,0,0,0,0
1130,10042325,615,Govt Primary School,girl,9,4,833,6,1,0,0,0
1131,10002968,265,Kendriya Vidyalaya,girl,6,3,453,7,1,0,1,1
1132,10014642,963,Navodaya Vidyalaya,boy,12,2,689,6,0,0,0,1
1133,10016796,544,Govt Primary School,boy,9,3,785,0,0,0,0,0
1134,10007783,232,Govt Primary School,boy,11,2,425,6,0,1,0,0
1135,10007284,468,Govt Primary School,girl,9,2,471,0,1,1,0,0
1136,10034878,422,Kendriya Vidyalaya,boy,9,2,598,2,1,1,0,1
1137,10038544,391,Govt Primary School,boy,6,4,335,2,1,0,0,0
1138,10048761,689,Govt Primary School,girl,8,3,588,5,0,0,0,1
1139,10018255,560,Kendriya Vidyalaya,boy,10,2,738,7,0,1,1,0
1140,10018040,697,Navodaya Vidyalaya,girl,12,2,627,2,1,1,1,1
1141,10048095,335,Govt Primary School,girl,9,4,767,5,0,1,0,1
1142,10006290,456,Govt Primary School,boy,7,4,687,1,1,0,1,1
1143,10036488,595,Navodaya Vidyalaya,boy,11,3,520,1,1,1,0,0
1144,10017170,667,Govt Primary School,boy,9,4,222,5,1,0,1,0
1145,10019210,314,Kendriya Vidyalaya,boy,9,4,615,7,1,1,0,0
1146,10002887,698,Govt Primary School,boy,6,2,440,1,0,1,1,1
1147,10000906,812,Kendriya Vidyalaya,girl,9,2,444,0,0,1,0,0
1148,10036553,574,Kendriya Vidyalaya,girl,11,3,335,0,1,0,1,1
1149,10011257,384,Navodaya Vidyalaya,boy,7,3,933,4,0,1,0,0
1150,10047252,855,Govt Primary School,boy,13,4,680,0,0,1,0,1
1151,10035752,241,Govt Primary School,girl,8,3,649,7,1,1,0,0
1152,10006803,342,Navodaya Vidyalaya,girl,8,2,813,2,1,0,0,1
1153,10042228,512,Kendriya Vidyalaya,boy,7,2,634,7,1,0,0,0
1154,10003283,650,Kendriya Vidyalaya,girl,13,2,537,6,0,1,1,0
1155,10025173,829,Navodaya Vidyalaya,boy,10,2,923,4,1,0,0,1
1156,10012128,221,Govt Primary School,boy,13,2,1000,0,1,0,1,0
1157,10007388,375,Govt Primary School,boy,6,2,515,1,0,0,0,0
1158,10036183,670,Navodaya Vidyalaya,boy,10,3,664,7,0,0,0,1
1159,10032930,611,Kendriya Vidyalaya,girl,14,3,614,1,0,1,1,0
1160,10034856,201,Navodaya Vidyalaya,boy,10,2,736,1,1,0,0,1
1161,10015294,824,Govt Primary School,boy,6,4,455,1,0,0,1,0
1162,10008797,873,Govt Primary School,boy,8,4,830,2,0,1,0,0
1163,10000062,439,Govt Primary School,girl,7,2,818,0,1,0,0,1
1164,10026914,259,Kendriya Vidyalaya,girl,9,3,891,5,1,0,0,1
1165,10010322,671,Govt Primary School,girl,14,4,452,2,1,1,1,0
1166,10043368,726,Kendriya Vidyalaya,girl,8,4,632,0,1,0,1,0
1167,10026366,421,Kendriya Vidyalaya,girl,10,2,472,5,1,0,0,0
1168,10037184,895,Govt Primary School,girl,13,4,504,3,0,0,1,1
1169,10017415,646,Govt Primary School,girl,9,4,938,4,1,1,0,0
1170,10018656,803,Govt Primary School,girl,14,4,616,1,1,1,0,1
1171,10034475,978,Navodaya Vidyalaya,boy,7,4,921,1,1,1,0,0
1172,10030109,465,Kendriya Vidyalaya,boy,8,2,472,2,1,1,1,1
1173,10044338,350,Kendriya Vidyalaya,girl,12,2,235,6,0,0,1,0
1174,10034933,771,Navodaya Vidyalaya,girl,12,4,396,6,0,1,1,0
1175,10039547,256,Navodaya Vidyalaya,girl,12,3,306,5,0,0,0,1
1176,10008934,528,Navodaya Vidyalaya,boy,11,3,589,1,1,0,0,0
1177,10001552,652,Govt Primary School,boy,10,2,519,3,1,0,0,0
1178,10022904,422,Govt Primary School,boy,14,4,355,1,0,1,0,0
1179,10041083,253,Govt Primary School,boy,13,4,924,5,1,0,1,1
1180,10032950,925,Kendriya Vidyalaya,girl,6,3,441,7,0,1,0,0
1181,10041580,621,Govt Primary School,boy,10,4,649,0,1,0,1,1
1182,10043643,230,Kendriya Vidyalaya,girl,9,2,616,0,1,1,0,1
1183,10018328,235,Govt Primary School,girl,6,3,273,6,0,0,0,1
1184,10043382,257,Govt Primary School,boy,9,4,456,4,0,0,0,1
1185,10026656,656,Kendriya Vidyalaya,boy,8,2,915,4,0,0,1,0
1186,10001236,397,Govt Primary School,boy,7,2,734,7,0,0,0,1
1187,10029412,310,Govt Primary School,girl,9,3,857,0,1,1,1,1
1188,10029113,866,Govt Primary School,girl,6,2,607,4,1,0,1,0
1189,10016837,466,Govt Primary School,boy,14,4,908,1,1,1,1,0
1190,10015590,608,Govt Primary School,boy,11,4,226,4,1,1,0,1
1191,10006360,405,Govt Primary School,girl,13,4,200,6,1,1,1,0
1192,10030340,886,Kendriya Vidyalaya,boy,12,3,298,4,0,0,0,1
1193,10020302,200,Navodaya Vidyalaya,girl,8,2,451,0,0,0,0,1
1194,10044371,207,Navodaya Vidyalaya,girl,7,2,591,5,0,0,0,0
1195,10024163,560,Govt Primary School,girl,9,3,387,2,0,0,0,1
1196,10032589,310,Govt Primary School,girl,10,2,296,7,1,1,0,0
1197,10005191,592,Kendriya Vidyalaya,boy,10,3,669,6,1,0,0,1
1198,10027331,549,Navodaya Vidyalaya,girl,14,3,480,7,1,1,1,0
1199,10004587,599,Govt Primary School,boy,9,4,289,2,1,0,1,1
1200,10022071,248,Govt Primary School,boy,12,2,599,0,0,1,0,1
1201,10047368,248,Kendriya Vidyalaya,boy,7,3,747,2,0,0,1,0
1202,10043210,434,Kendriya Vidyalaya,boy,12,3,556,7,0,0,0,0
1203,10047892,862,Govt Primary School,boy,11,2,950,7,1,1,0,0
1204,10032636,494,Govt Primary School,boy,9,3,402,0,1,0,0,0
1205,10042841,890,Govt Primary School,girl,8,2,779,3,1,0,0,1
1206,10041024,497,Govt Primary School,boy,12,3,883,6,0,1,0,0
1207,10027004,241,Navodaya Vidyalaya,boy,11,2,970,0,0,0,0,0
1208,10009848,874,Kendriya Vidyalaya,boy,13,4,622,6,0,1,0,1
1209,10040478,988,Govt Primary School,girl,11,4,762,2,0,0,0,0
1210,10031794,628,Govt Primary School,girl,14,4,347,7,0,1,0,0
1211,10002460,491,Govt Primary School,boy,10,4,281,1,1,1,0,0
1212,10035711,542,Govt Primary School,girl,9,4,506,0,1,0,1,0
1213,10019177,982,Navodaya Vidyalaya,boy,9,2,426,0,0,1,1,1
1214,10002416,369,Govt Primary School,girl,6,4,928,4,0,1,0,1
1215,10023936,991,Navodaya Vidyalaya,boy,7,4,931,7,0,1,1,1
1216,10026867,432,Navodaya Vidyalaya,girl,11,4,567,5,0,1,0,0
1217,10042289,554,Govt Primary School,boy,10,3,217,5,0,0,1,1
1218,10025638,671,Kendriya Vidyalaya,boy,10,3,688,6,1,0,0,1
1219,10041570,615,Govt Primary School,girl,6,2,963,2,0,1,0,1
1220,10004975,493,Kendriya Vidyalaya,boy,11,3,337,0,1,0,0,0
1221,10045161,564,Kendriya Vidyalaya,girl,13,2,837,2,0,0,0,0
1222,10015436,453,Govt Primary School,boy,14,3,341,4,1,1,1,0
1223,10011299,557,Govt Primary School,boy,11,3,681,1,0,1,1,1
1224,10034503,500,Navodaya Vidyalaya,boy,13,3,382,5,0,1,1,1
1225,10004156,668,Navodaya Vidyalaya,girl,12,2,245,1,0,1,0,1
1226,10046692,569,Navodaya Vidyalaya,girl,9,3,447,4,0,1,0,0
1227,10043807,600,Kendriya Vidyalaya,girl,7,3,233,7,1,1,1,1
1228,10008428,780,Govt Primary School,girl,14,2,958,5,1,0,1,1
1229,10005921,910,Govt Primary School,girl,14,4,957,3,1,1,1,0
1230,10020121,516,Navodaya Vidyalaya,girl,11,4,988,0,1,1,1,1
1231,10028900,969,Kendriya Vidyalaya,boy,7,4,989,6,1,0,0,0
1232,10036478,777,Navodaya Vidyalaya,boy,6,4,610,5,1,1,0,0
1233,10017465,941,Kendriya Vidyalaya,boy,7,4,856,0,1,1,0,0
1234,10038739,221,Kendriya Vidyalaya,girl,14,2,917,3,0,1,0,1
1235,10031743,827,Govt Primary School,girl,7,3,699,3,0,1,0,1
1236,10016673,765,Kendriya Vidyalaya,boy,7,4,483,4,0,1,0,0
1237,10042184,848,Kendriya Vidyalaya,boy,6,2,263,3,0,1,1,0
1238,10006976,637,Govt Primary School,boy,12,2,279,1,0,1,0,1
1239,10037098,337,Govt Primary School,boy,12,4,539,1,1,0,1,0
1240,10022140,851,Govt Primary School,boy,14,3,988,5,1,0,0,1
1241,10008990,216,Govt Primary School,boy,12,2,715,2,1,1,1,1
1242,10007628,203,Govt Primary School,girl,6,4,661,7,1,1,0,1
1243,10030705,570,Kendriya Vidyalaya,boy,11,2,300,0,0,1,1,0
